RPM,AF,EGT,IP,EP,label,zone
1762.2,8.9034,331.0773,1.2821,1.1616,HEALTHY,NONE
2165.5,15.0,357.8595,1.6895,1.596,HEALTHY,NONE
2012.4,13.0047,343.0962,1.5123,1.4155,HEALTHY,NONE
1919.1,11.5208,349.7533,1.4141,1.3115,HEALTHY,NONE
1609.2,6.472,330.8729,1.0888,1.0079,HEALTHY,NONE
1609.2,6.5498,323.1721,1.0915,0.9875,HEALTHY,NONE
1540.7,5.3977,325.4869,1.0087,0.9305,HEALTHY,NONE
2106.3,14.5448,351.5554,1.6124,1.5206,HEALTHY,NONE
1920.8,11.4466,347.6349,1.4277,1.3405,HEALTHY,NONE
1995.7,12.4261,356.4848,1.5218,1.4442,HEALTHY,NONE
1514.4,4.91,316.3446,1.0075,0.9074,HEALTHY,NONE
2178.9,15.0,359.522,1.706,1.6089,HEALTHY,NONE
2082.7,14.1324,353.3348,1.6044,1.5178,HEALTHY,NONE
1648.6,6.8379,335.7886,1.1228,1.0366,HEALTHY,NONE
1627.3,6.5197,332.4299,1.1176,1.0183,HEALTHY,NONE
1628.4,6.8579,327.6593,1.1024,1.0129,HEALTHY,NONE
1713.0,8.0702,334.0532,1.2227,1.1079,HEALTHY,NONE
1867.3,10.6897,339.3863,1.3431,1.2831,HEALTHY,NONE
1802.4,9.5347,345.4981,1.3011,1.1884,HEALTHY,NONE
1703.9,7.9324,335.2996,1.2074,1.081,HEALTHY,NONE
1928.3,11.7202,355.9208,1.4487,1.3172,HEALTHY,NONE
1597.6,6.1224,329.579,1.1399,0.954,HEALTHY,NONE
1704.5,7.9527,331.683,1.209,1.0777,HEALTHY,NONE
1756.5,8.7142,330.2541,1.2384,1.1616,HEALTHY,NONE
1819.2,9.7401,331.9468,1.3247,1.2088,HEALTHY,NONE
2049.6,13.507,344.5605,1.5412,1.487,HEALTHY,NONE
1639.8,6.9185,333.3242,1.1301,1.0324,HEALTHY,NONE
1860.0,10.3959,345.5418,1.3542,1.2314,HEALTHY,NONE
1914.7,11.5464,337.8286,1.4485,1.3433,HEALTHY,NONE
1532.5,5.0059,331.101,1.0043,0.9315,HEALTHY,NONE
1925.3,11.5023,343.8488,1.4394,1.3219,HEALTHY,NONE
1619.4,6.4872,331.7023,1.0969,1.018,HEALTHY,NONE
1545.5,5.569,335.3379,1.0642,0.9123,HEALTHY,NONE
2164.2,15.0,362.6952,1.6947,1.6031,HEALTHY,NONE
2175.9,15.0,357.4545,1.7505,1.5886,HEALTHY,NONE
2065.9,13.595,348.8379,1.6107,1.4585,HEALTHY,NONE
1713.2,8.1204,324.9024,1.2211,1.1039,HEALTHY,NONE
1568.4,5.8569,324.8228,1.0616,0.9518,HEALTHY,NONE
1979.0,12.4161,347.8925,1.5079,1.3921,HEALTHY,NONE
1808.1,9.7838,335.4694,1.276,1.1908,HEALTHY,NONE
1585.4,5.9234,328.6151,1.0672,0.9648,HEALTHY,NONE
1846.6,10.462,342.7155,1.3732,1.2617,HEALTHY,NONE
1524.1,5.3476,325.0793,1.0052,0.9052,HEALTHY,NONE
2136.5,14.9128,353.5762,1.643,1.5747,HEALTHY,NONE
1681.1,7.4915,334.9006,1.1756,1.0633,HEALTHY,NONE
1963.8,12.3745,350.398,1.5176,1.407,HEALTHY,NONE
1718.2,8.3981,330.4579,1.2418,1.0934,HEALTHY,NONE
1864.0,10.4557,350.257,1.374,1.285,HEALTHY,NONE
1882.7,10.7745,343.6419,1.4145,1.3191,HEALTHY,NONE
1629.4,6.6741,331.5642,1.1132,1.0301,HEALTHY,NONE
2178.7,15.0,362.4765,1.6828,1.6128,HEALTHY,NONE
2042.6,13.3012,353.2957,1.5506,1.4585,HEALTHY,NONE
2157.6,15.0,362.6481,1.7253,1.6147,HEALTHY,NONE
2126.4,14.687,357.7546,1.6546,1.5316,HEALTHY,NONE
1918.5,11.4153,342.8643,1.4295,1.315,HEALTHY,NONE
2145.3,15.0,359.0731,1.6746,1.5727,HEALTHY,NONE
1561.9,5.8515,322.3786,1.0853,0.972,HEALTHY,NONE
1637.2,6.6934,332.4022,1.1615,1.0365,HEALTHY,NONE
1531.7,5.2738,326.4168,1.0587,0.895,HEALTHY,NONE
1727.7,8.2842,335.346,1.2241,1.121,HEALTHY,NONE
1772.1,9.0303,337.961,1.2813,1.1631,HEALTHY,NONE
1689.9,7.8027,325.088,1.1559,1.072,HEALTHY,NONE
2080.1,13.8811,351.2622,1.6394,1.5294,HEALTHY,NONE
1749.7,8.7315,337.9506,1.2278,1.1237,HEALTHY,NONE
1696.7,7.8356,335.632,1.1978,1.1257,HEALTHY,NONE
1879.9,10.8657,338.856,1.3705,1.309,HEALTHY,NONE
1598.6,6.2595,336.2609,1.0753,1.0089,HEALTHY,NONE
2061.5,14.1155,348.746,1.5729,1.4804,HEALTHY,NONE
1552.2,5.3645,332.4566,1.0245,0.9337,HEALTHY,NONE
2190.8,15.0,361.677,1.7193,1.6014,HEALTHY,NONE
2040.6,13.3126,348.7974,1.5559,1.4564,HEALTHY,NONE
1639.1,6.7909,340.8316,1.1477,1.0409,HEALTHY,NONE
1503.9,4.5784,319.2251,0.9621,0.9101,HEALTHY,NONE
2070.8,14.0767,358.1369,1.6042,1.4776,HEALTHY,NONE
1994.8,12.8745,354.7429,1.5416,1.4099,HEALTHY,NONE
2010.3,12.8281,347.1621,1.5238,1.431,HEALTHY,NONE
2039.9,13.2702,358.9568,1.5518,1.4382,HEALTHY,NONE
1551.8,5.5251,326.3413,1.0317,0.9481,HEALTHY,NONE
1750.9,8.6108,338.9898,1.276,1.138,HEALTHY,NONE
1581.1,6.0257,330.357,1.0719,0.9642,HEALTHY,NONE
2104.2,14.4713,354.5371,1.6253,1.5269,HEALTHY,NONE
1936.3,11.4824,350.8695,1.4634,1.3379,HEALTHY,NONE
1731.6,8.6118,340.5489,1.2094,1.1313,HEALTHY,NONE
1544.5,5.6044,318.4819,1.0419,0.924,HEALTHY,NONE
1717.7,8.0609,342.4061,1.2245,1.1089,HEALTHY,NONE
1727.6,8.2564,328.069,1.221,1.1126,HEALTHY,NONE
2010.7,12.9634,355.6989,1.5177,1.4409,HEALTHY,NONE
1946.3,11.9224,352.948,1.4468,1.3976,HEALTHY,NONE
2121.0,14.8143,350.5976,1.665,1.5571,HEALTHY,NONE
1830.6,10.2906,339.4735,1.3635,1.2588,HEALTHY,NONE
1583.7,5.9466,323.6573,1.0581,0.9431,HEALTHY,NONE
1999.3,12.6144,348.889,1.5312,1.4252,HEALTHY,NONE
2032.5,13.0687,350.0873,1.5165,1.4362,HEALTHY,NONE
1892.9,10.8938,348.543,1.3949,1.277,HEALTHY,NONE
2039.7,13.3866,358.5354,1.5653,1.4511,HEALTHY,NONE
1845.7,10.5041,349.2613,1.3371,1.2791,HEALTHY,NONE
1865.9,10.4868,340.4848,1.3585,1.2963,HEALTHY,NONE
1799.3,9.5139,338.9178,1.2916,1.2098,HEALTHY,NONE
1517.8,4.8981,317.4725,1.0052,0.8687,HEALTHY,NONE
1575.5,6.0181,324.7468,1.0583,0.9581,HEALTHY,NONE
1522.0,5.3481,330.9243,0.9591,0.9099,HEALTHY,NONE
1945.5,11.7795,355.3523,1.4213,1.3672,HEALTHY,NONE
1720.0,8.1179,329.8307,1.2068,1.082,HEALTHY,NONE
1856.0,10.5598,339.8377,1.3757,1.2487,HEALTHY,NONE
2135.3,15.0,356.6328,1.6148,1.5685,HEALTHY,NONE
1674.5,7.7273,335.126,1.1595,1.0802,HEALTHY,NONE
1787.3,9.3725,335.3154,1.2814,1.148,HEALTHY,NONE
2028.9,13.1621,353.5646,1.582,1.451,HEALTHY,NONE
1660.2,7.3055,330.6387,1.1462,1.0567,HEALTHY,NONE
1553.9,5.6541,327.622,1.0462,0.9555,HEALTHY,NONE
1702.8,8.0341,337.8727,1.203,1.1141,HEALTHY,NONE
1612.9,6.5233,330.6749,1.0599,1.0142,HEALTHY,NONE
2150.8,15.0,355.3575,1.7019,1.5706,HEALTHY,NONE
2065.7,13.9901,352.7362,1.5985,1.456,HEALTHY,NONE
1943.4,12.0322,346.7273,1.4716,1.3535,HEALTHY,NONE
2110.0,14.6334,353.6511,1.7208,1.5623,HEALTHY,NONE
2062.6,13.739,351.8345,1.5491,1.5187,HEALTHY,NONE
1630.6,6.7579,339.5232,1.1563,1.036,HEALTHY,NONE
2124.8,14.9573,359.0442,1.6526,1.5669,HEALTHY,NONE
1877.5,10.6311,342.3996,1.3956,1.2975,HEALTHY,NONE
2065.2,13.8623,356.7452,1.5927,1.4825,HEALTHY,NONE
2127.3,14.7576,354.6941,1.6525,1.5584,HEALTHY,NONE
1722.6,8.2371,341.9957,1.2103,1.1551,HEALTHY,NONE
1577.0,6.0562,330.7,1.0702,0.9448,HEALTHY,NONE
1659.6,7.2357,332.4412,1.1229,1.0855,HEALTHY,NONE
1799.0,9.4824,342.1874,1.3196,1.1982,HEALTHY,NONE
2072.6,13.7234,345.7761,1.5934,1.5282,HEALTHY,NONE
2102.5,14.5258,349.4917,1.6116,1.506,HEALTHY,NONE
1504.9,4.7871,319.2737,0.9763,0.897,HEALTHY,NONE
1857.5,10.7524,343.5909,1.3933,1.2534,HEALTHY,NONE
1792.2,9.3188,348.272,1.2865,1.1689,HEALTHY,NONE
1655.5,7.1735,343.9303,1.156,1.0532,HEALTHY,NONE
1583.9,6.0137,332.3855,1.0565,0.9913,HEALTHY,NONE
1736.3,8.6928,339.3208,1.2517,1.1197,HEALTHY,NONE
2160.0,15.0,348.9966,1.7103,1.5666,HEALTHY,NONE
1726.2,8.3339,333.5987,1.2626,1.1238,HEALTHY,NONE
1863.2,10.6107,339.2188,1.3708,1.2725,HEALTHY,NONE
1992.1,12.6457,346.5014,1.5277,1.4253,HEALTHY,NONE
1754.5,8.6855,336.8863,1.2583,1.1754,HEALTHY,NONE
2180.2,15.0,356.6519,1.7445,1.6174,HEALTHY,NONE
2173.7,15.0,348.7892,1.6971,1.6486,HEALTHY,NONE
1676.2,7.3247,337.5519,1.1863,1.0758,HEALTHY,NONE
1848.1,10.2942,337.04,1.354,1.251,HEALTHY,NONE
1710.6,7.9328,336.727,1.2074,1.0764,HEALTHY,NONE
1699.4,8.0344,345.3398,1.1983,1.0912,HEALTHY,NONE
1525.8,4.8027,321.6941,1.0131,0.9013,HEALTHY,NONE
